# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 663  of event 'cpu-clock'
# Event count (approx.): 6696969630
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ............................................
#
     0.15%  queue0:src       libc.so.6                     [.] 0x000000000009ddc0
     0.15%  queue0:src       libc.so.6                     [.] 0x000000000009dddc
     0.15%  queue0:src       libglib-2.0.so.0.7600.1       [.] 0x00000000000bb870
     0.15%  queue0:src       libgobject-2.0.so.0.7600.1    [.] g_signal_emit_valist
     0.15%  queue0:src       libgobject-2.0.so.0.7600.1    [.] g_type_check_instance
     0.15%  queue0:src       libgobject-2.0.so.0.7600.1    [.] g_type_check_instance_is_fundamentally_a
     0.15%  queue0:src       libgobject-2.0.so.0.7600.1    [.] 0x0000000000046a80
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] gst_buffer_map_range
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] gst_memory_make_mapped
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] gst_memory_map
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] gst_memory_unmap
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] 0x00000000000d6b6c
     0.15%  queue0:src       libgstvideo-1.0.so.0.2411.0   [.] 0x0000000000039d80
     0.15%  queue0:src       libgstvideo4linux2.so         [.] 0x000000000003e250
     0.15%  queue0:src       librga.so.2.1.0               [.] _Z7RgaBlitP8rga_infoS0_S0_
     0.15%  queue0:src       librga.so.2.1.0               [.] _Z7RgaBlitP8rga_infoS0_S0_@plt
     0.15%  v4l2src0:src     [kernel.kallsyms]             [k] __video_do_ioctl
     0.15%  v4l2src0:src     [kernel.kallsyms]             [k] arch_local_irq_restore
     0.15%  v4l2src0:src     libgobject-2.0.so.0.7600.1    [.] 0x0000000000046a80
     0.15%  v4l2src0:src     libgstbase-1.0.so.0.2411.0    [.] 0x0000000000042194
     0.15%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] gst_clock_get_internal_time
     0.15%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] gst_poll_fd_has_pri
     0.15%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] ppoll@plt


#
# (Cannot load tips.txt file, please install perf!)
#
